Tanggal,Klik,Tayangan,RKT,Posisi,,,,,,,
2022-02-14,3,41,7.32%,19.32,,,,,,,
2022-02-13,5,35,14.29%,8.51,,,,,,,
2022-02-12,6,31,19.35%,13.48,,,,,,,
2022-02-11,6,43,13.95%,20.05,,,Row Labels,Sum of Klik,Sum of Tayangan,Sum of RKT,Sum of Posisi
2022-02-10,2,37,5.41%,17.38,,,Jan,133,1939,2.1557,467.4
2022-02-09,5,39,12.82%,10.49,,,2022,133,1939,2.1557,467.4
2022-02-08,2,36,5.56%,15.00,,,Feb,55,564,1.3739,177.59
2022-02-07,5,42,11.90%,9.86,,,2022,55,564,1.3739,177.59
2022-02-06,1,44,2.27%,6.70,,,Jul,15,51,4.9833,558.16
2022-02-05,10,47,21.28%,9.36,,,2021,15,51,4.9833,558.16
2022-02-04,2,45,4.44%,11.18,,,Aug,9,152,2.1101,1132.81
2022-02-03,3,36,8.33%,9.58,,,2021,9,152,2.1101,1132.81
2022-02-02,1,36,2.78%,12.06,,,Sep,26,476,1.4861,740.79
2022-02-01,4,52,7.69%,14.62,,,2021,26,476,1.4861,740.79
2022-01-31,3,53,5.66%,11.43,,,Oct,39,772,1.5648,638.76
2022-01-30,3,65,4.62%,14.43,,,2021,39,772,1.5648,638.76
2022-01-29,3,53,5.66%,17.45,,,Nov,39,912,1.3408,622.76
2022-01-28,3,75,4.00%,23.51,,,2021,39,912,1.3408,622.76
2022-01-27,5,75,6.67%,10.36,,,Dec,65,1333,1.5298,418.35
2022-01-26,4,68,5.88%,14.07,,,2021,65,1333,1.5298,418.35
2022-01-25,12,89,13.48%,11.97,,,Grand Total,381,6199,16.5445,4756.62
2022-01-24,9,86,10.47%,13.45,,,,,,,
2022-01-23,4,68,5.88%,14.35,,,,,,,
2022-01-22,8,70,11.43%,9.20,,,,,,,
2022-01-21,2,77,2.60%,16.36,,,,,,,
2022-01-20,3,138,2.17%,26.20,,,,,,,
2022-01-19,2,86,2.33%,12.56,,,,,,,
2022-01-18,8,94,8.51%,16.21,,,,,,,
2022-01-17,6,91,6.59%,14.35,,,,,,,
2022-01-16,7,102,6.86%,16.06,,,,,,,
2022-01-15,2,43,4.65%,15.00,,,,,,,
2022-01-14,10,62,16.13%,15.60,,,,,,,
2022-01-13,7,57,12.28%,13.68,,,,,,,
2022-01-12,1,40,2.50%,11.32,,,,,,,
2022-01-11,3,64,4.69%,19.09,,,,,,,
2022-01-10,6,47,12.77%,11.40,,,,,,,
